SiteID,Observer,SearchTime
CF1,Volunteer,60
CF1,KLS,60
CF2,KLS,60
CFP1,KLS,60
CFP1,Volunteer,59
CFP2,KLS,60
CHP1,KLS,67
CHP2,KLS,60
DTP1,KLS,69
DTP1,Volunteer,65
DTP1,Volunteer,65
DTP2,Volunteer,60
DTP2,KLS,45
DTP2,Volunteer,60
GCCP1,KLS,60
GCCP2,KLS,60
GF1,KLS,59
GF2,KLS,65
GMCP1,KLS,55
GMCP1,Volunteer,55
GMCP1,Volunteer,55
GMCP2,KLS,60
GMCP2,Volunteer,80
HF1,KLS,76
HF1,Volunteer,75
HF2,KLS,55
ICF1,KLS,77
ICF2,KLS,60
ICF2,Volunteer,60
ICF2,Volunteer,71
MF1,KLS,70
MF1,Volunteer,80
MF1,Volunteer,70
MF2,KLS,60
MF2,Volunteer,90
MP1,KLS,35
MP1,Volunteer,50
MP1,Volunteer,30
MP2,KLS,55
MP2,Volunteer,80
NFCP1,KLS,70
NFCP1,Volunteer,70
NFCP2,KLS,70
NFCP2,Volunteer,70
PCP1,KLS,65
PCP2,Volunteer,90
PCP2,Volunteer,45
PCP2,KLS,60
RHF1,KLS,60
RHF2,KLS,65
RHF2,Volunteer,85
RLP1,KLS,60
RLP2,KLS,60
RSP1,KLS,59
RSP2,KLS,63
RSP2,Volunteer,80
RWP1,KLS,60
RWP2,Volunteer,58
RWP2,KLS,45
SKY1,KLS,70
SKY2,KLS,75
SKY2,Volunteer,90
SP1,KLS,51
SP1,Volunteer,51
SP2,KLS,58
SPIL1,KLS,41
SPIL1,Volunteer,40
SPIL1,Volunteer,33
SPIL1,Volunteer,55
SPIL2,KLS,75
SPIL2,Volunteer,80
SRNP1,KLS,75
SRNP1,Volunteer,80
SRNP2,KLS,60
SRNP2,Volunteer,60
VHVG1,KLS,55
VHVG2,KLS,65
VHVG2,Volunteer,53
WCP1,KLS,69
WCP2,KLS,60
WCP2,Volunteer,60
WCP2,Volunteer,60
WSF1,KLS,83
WSF2,KLS,60
YMP1,KLS,64
YMP2,KLS,55
YMP2,Volunteer,65
BEF_01,DEC,90
BEF_10,DEC,52
BEF_11,DEC,85
BEF_12,DEC,64
BEF_13,DEC,101
BEF_14,DEC,70
BEF_15,DEC,119
BEF_16,DEC,85
BEF_17,DEC,80
BEF_18,DEC,42
BEF_19,DEC,45
BEF_02,DEC,71
BEF_20,DEC,58
BEF_21,DEC,96
BEF_22,DEC,85
BEF_23,DEC,58
BEF_24,DEC,52
BEF_25,DEC,75
BEF_26,DEC,92
BEF_27,DEC,87
BEF_28,DEC,70
BEF_29,DEC,113
BEF_03,DEC,51
BEF_30,DEC,89
BEF_31,DEC,64
BEF_32,DEC,70
BEF_33,DEC,81
BEF_34,DEC,160
BEF_35,DEC,116
BEF_36,DEC,86
BEF_37,DEC,107
BEF_04,DEC,24
BEF_05,DEC,59
BEF_06,DEC,78
BEF_07,DEC,1
BEF_08,DEC,56
BEF_09,DEC,75
