SiteID,Family,Genus,Species,Common
WCP1,Rosaceae,Rubus,spp,Bramble
WCP1,Fabaceae,Cercis,canadensis,Eastern Redbud
WCP1,Lauraceae,Lindera,benzoin,Spicebush
WCP1,Magnoliaceae,Liriodendron,tulipifera,Tulip Poplar
WCP1,Sapindaceae,Acer,spp,Maple
WCP1,Violaceae,Viola,spp,Violet
WCP1,Amaryllidaceae,Narcissus,pseudonarcissus,Common Daffodil
SP1,Oleaceae,Forsythia,× intermedia,Border Forsythia
SP1,Polemoniaceae,Phlox,subulata,Creeping Phlox
SP1,Rosaceae,Pyrus,calleryana,Bradford Pear
SP1,Rosaceae,Prunus,avium,Sweet Cherry
SP1,Lauraceae,Lindera,benzoin,Spicebush
DTP1,Lauraceae,Lindera,benzoin,Spicebush
DTP1,Papaveraceae,Corydalis,incisa,Incised Fumewort
DTP1,Rosaceae,Pyrus,calleryana,Bradford Pear
DTP1,Rosaceae,Malus,spp,Apple
DTP1,Montiaceae,Claytonia,virginica,Spring Beauty
DTP1,Lamiaceae,Lamium,purpureum,Purple Dead Nettle
DTP1,Ranunculaceae,Ficaria,verna,Lesser Celandine
DTP1,Oleaceae,Forsythia,× intermedia,Border Forsythia
DTP1,Asteraceae,Taraxacum,officinale,Dandelion
DTP1,Rosaceae,Rubus,spp,Bramble
CHP1,Violaceae,Viola,spp,Violet
CHP1,Rosaceae,Prunus,spp,Cherry
CHP1,Asparagaceae,Liriope,muscari,Lily turf
CHP1,Asteraceae,Taraxacum,officinale,Dandelion
CHP1,Lauraceae,Lindera,benzoin,Spicebush
ICF1,Lauraceae,Lindera,benzoin,Spicebush
ICF1,Boraginaceae,Mertensia,virginica,Virginia Bluebell
ICF1,Caprifoliaceae,Lonicera,spp,Honeysuckle
ICF1,Lamiaceae,Glechoma,hederacea,Ground Ivy
ICF1,Oleaceae,Forsythia,× intermedia,Border Forsythia
ICF1,Amaryllidaceae,Narcissus,pseudonarcissus,Common Daffodil
