Num,Name,SiteID,Type,Acres,County,Updated_x,Updated_y,NLCD_Sites_1000m_11,NLCD_Sites_1000m_21,NLCD_Sites_1000m_22,NLCD_Sites_1000m_23,NLCD_Sites_1000m_24,NLCD_Sites_1000m_31,NLCD_Sites_1000m_41,NLCD_Sites_1000m_42,NLCD_Sites_1000m_43,NLCD_Sites_1000m_52,NLCD_Sites_1000m_71,NLCD_Sites_1000m_81,NLCD_Sites_1000m_82,NLCD_Sites_1000m_90,NLCD_Sites_1000m_95
1,Walnut Creek Park,WCP,Local Park,525,Albemarle,-78.58904416,37.92632325,152,71,12,12,2,0,1919,131,1071,11,32,46,0,0,0
2,Seilheimer Property,SP,Private,384,Albemarle,-78.61112415,37.98577564,94,48,9,1,0,0,1582,88,372,27,21,1223,0,0,1
3,Darden Towe Park,DTP,Local Park,113,Albemarle,-78.44955868,38.0431152,67,711,637,549,183,7,468,48,166,14,77,482,0,43,9
4,Charlotte Humphris Park,CHP,Local Park,25,Albemarle,-78.49250307,38.07591333,0,348,757,1120,495,1,372,9,205,21,23,106,0,0,0
5,Ivy Creek Foundation,ICF,Private,180,Albemarle,-78.49435561,38.09162761,342,288,91,29,23,0,1745,8,772,7,32,119,0,5,0
6,Preddy Creek Park,PCP,Local Park,571,Albemarle,-78.36831218,38.17625885,3,180,20,1,0,0,1495,148,1155,171,5,219,0,65,0
7,Hampstead Farm,HF,Private,297,Orange,-78.24150774,38.21966134,7,299,28,4,0,0,591,4,199,0,1,1976,350,0,0
8,Willow Spring Farm,WSF,Private,216,Orange,-78.26967491,38.23066149,1,178,19,6,0,0,764,125,508,43,21,1541,149,96,11
9,Greene County Community Park,GCCP,Local Park,69,Greene,-78.41792602,38.27382937,1,439,255,103,27,6,494,98,929,92,86,845,83,0,0
10,Greenway Farm,GF,Private,212,Madison,-78.14320999,38.28637148,22,93,93,15,0,0,336,162,209,0,6,1119,1151,248,5
11,South River Nature Preserve,SRNP,Private,273,Greene,-78.40530151,38.30394295,7,187,18,4,1,0,339,45,481,81,77,2228,0,0,0
12,Rockwater Park,RWP,Local Park,32,Town of Culpeper,-78.00588992,38.4593267,13,1172,1002,597,176,0,20,11,27,0,6,430,3,0,1
13,C F Phelps WMA,CFP,Local Park,4000,Fauquier,-77.75196894,38.46382692,18,6,1,0,0,0,1741,120,1140,48,4,343,0,36,3
14,Yowell Meadow Park,YMP,Local Park,31.4,Town of Culpeper,-78.00101627,38.47482133,1,1177,1008,550,197,0,82,13,40,0,0,345,0,49,0
15,Cleveland Farm,CF,Private,59,Culpeper,-77.97280801,38.49213592,1,511,464,528,126,0,87,2,49,46,11,658,975,7,0
16,Mayo Property,MP,Private,46,Culpeper,-78.19490197,38.50329018,31,163,1,1,0,0,1406,47,734,156,23,903,0,0,0
17,Miller Farm,MF,Private,1495,Rappahannock,-78.23760938,38.58609175,0,183,2,0,1,0,512,0,56,9,4,2354,342,0,0
18,Spilman Park,SPIL,Local Park,27,Culpeper,-77.93481434,38.6527195,13,953,103,12,0,0,780,38,536,28,1,857,132,9,5
19,Riverside Preserve,RSP,Local Park,196,Fauquier,-77.91785459,38.69969295,0,223,11,2,0,16,1755,49,644,0,20,531,175,35,0
20,Vint Hill Village Green,VHVG,Local Park,30,Fauquier,-77.68160297,38.74207514,2,946,563,396,130,0,397,23,267,0,24,559,39,111,2
21,Northern Fauquier Community Park,NFCP,Local Park,88,Fauquier,-77.82443261,38.86949865,6,420,220,215,71,0,484,7,340,0,12,1572,111,0,0
22,Gertrude E. Miller Community Park,GMCP,Local Park,60,Warren,-78.18964268,38.93136037,0,564,1004,770,351,0,231,17,145,0,0,374,0,0,0
23,Rockland Park,RLP,Local Park,,Warren,-78.16993861,38.96582162,206,240,159,147,162,1,1105,19,284,2,28,1105,0,3,0
24,Sky Meadows,SKY,State Park,1860,Fauquier,-77.96439301,38.9913553,6,62,3,5,0,0,1149,10,67,0,0,2159,0,0,0
25,Rock Hill Farm,RHF,Private,238,Loudoun,-77.83209823,39.05054792,13,176,28,2,1,0,729,0,128,0,0,2285,30,64,5
26,Blandy Experimental Farm,BEF,Local Park,400,Clarke,-78.065219,39.063845,0,221,99,5,0,0,225,7,145,0,3,2292,415,1,7
