Index,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASVTotalReads,Sample,Reads,SampleTotalReads
79,k__Viridiplantae_33090,p__Streptophyta_35493,c__sub__rosids_71275,o__Fabales_72025,f__Fabaceae_3803,g__Trifolium_3898,s__Trifolium repens_3899,253069,Bb012,9,20109
80,k__Viridiplantae_33090,p__Streptophyta_35493,c__sub__rosids_71275,o__Fabales_72025,f__Fabaceae_3803,g__Trifolium_3898,s__Trifolium repens_3899,253069,Bf001,22,16028
84,k__Viridiplantae_33090,p__Streptophyta_35493,c__sub__rosids_71275,o__Fabales_72025,f__Fabaceae_3803,g__Trifolium_3898,s__Trifolium repens_3899,253069,KLS0045,7,14281
85,k__Viridiplantae_33090,p__Streptophyta_35493,c__sub__rosids_71275,o__Fabales_72025,f__Fabaceae_3803,g__Trifolium_3898,s__Trifolium repens_3899,253069,KLS0137,5,17127
86,k__Viridiplantae_33090,p__Streptophyta_35493,c__sub__rosids_71275,o__Fabales_72025,f__Fabaceae_3803,g__Trifolium_3898,s__Trifolium repens_3899,253069,KLS0169,7,13848
87,k__Viridiplantae_33090,p__Streptophyta_35493,c__sub__rosids_71275,o__Fabales_72025,f__Fabaceae_3803,g__Trifolium_3898,s__Trifolium repens_3899,253069,KLS0259,3,13930
91,k__Viridiplantae_33090,p__Streptophyta_35493,c__sub__rosids_71275,o__Fabales_72025,f__Fabaceae_3803,g__Trifolium_3898,s__Trifolium repens_3899,253069,SCA0010,14,11500
92,k__Viridiplantae_33090,p__Streptophyta_35493,c__sub__rosids_71275,o__Fabales_72025,f__Fabaceae_3803,g__Cercis_49800,s__Cercis siliquastrum_49802,117750,Ba001,9,2683
93,k__Viridiplantae_33090,p__Streptophyta_35493,c__sub__rosids_71275,o__Fabales_72025,f__Fabaceae_3803,g__Cercis_49800,s__Cercis siliquastrum_49802,117750,Ba002,240,5843
94,k__Viridiplantae_33090,p__Streptophyta_35493,c__sub__rosids_71275,o__Fabales_72025,f__Fabaceae_3803,g__Cercis_49800,s__Cercis siliquastrum_49802,117750,Bb003,30,20886
95,k__Viridiplantae_33090,p__Streptophyta_35493,c__sub__rosids_71275,o__Fabales_72025,f__Fabaceae_3803,g__Cercis_49800,s__Cercis siliquastrum_49802,117750,Bb005,6833,9485
96,k__Viridiplantae_33090,p__Streptophyta_35493,c__sub__rosids_71275,o__Fabales_72025,f__Fabaceae_3803,g__Cercis_49800,s__Cercis siliquastrum_49802,117750,Bb007,4547,9314
97,k__Viridiplantae_33090,p__Streptophyta_35493,c__sub__rosids_71275,o__Fabales_72025,f__Fabaceae_3803,g__Cercis_49800,s__Cercis siliquastrum_49802,117750,Bb008,4756,5416
98,k__Viridiplantae_33090,p__Streptophyta_35493,c__sub__rosids_71275,o__Fabales_72025,f__Fabaceae_3803,g__Cercis_49800,s__Cercis siliquastrum_49802,117750,Bb009,4819,6545
